datetime,open,high,low,close,vol
2025-12-16 00:00:00,86984.4,87169.7,86000,86350.4,807784.65
2025-12-15 23:00:00,88004.9,88146.6,86580.1,86984.5,1803486.84
2025-12-15 22:00:00,89393.7,89842.6,87787.6,88004.9,1049803.2
2025-12-15 21:00:00,89666.1,89700,89238.2,89393.7,212240.15
2025-12-15 20:00:00,89608.1,89727.5,89384.4,89666.1,192485.53
2025-12-15 19:00:00,89814.9,89859.3,89536.2,89608.1,134861.75
2025-12-15 18:00:00,89824.4,89936.4,89655.8,89814.9,176428.11
2025-12-15 17:00:00,89723.4,89946.3,89723.4,89824.3,128088.95
2025-12-15 16:00:00,89712.5,89865.4,89608.3,89723.4,155373.49
2025-12-15 15:00:00,89694.8,89786.1,89473,89712.5,145969.38
2025-12-15 14:00:00,89578.5,89884,89423.9,89694.7,145568.66
2025-12-15 13:00:00,89630.5,89716.6,89453.2,89578.4,133397
2025-12-15 12:00:00,89235.9,89745.9,89226.8,89630.5,188518.38
2025-12-15 11:00:00,89266.6,89491.6,89176.2,89236,135926.67
2025-12-15 10:00:00,89191.4,89979.1,89178.6,89266.6,503912.38
2025-12-15 09:00:00,88402.1,89299.8,88360.8,89191.3,406375.06
2025-12-15 08:00:00,88114.5,88642.7,88020,88402,352711.19
2025-12-15 07:00:00,88369.1,88563.7,87523.3,88114.6,477876.84
2025-12-15 06:00:00,88396.4,88564.4,87948.1,88369,281738.84
2025-12-15 05:00:00,88507.6,88669,88277.9,88396.3,103901.55
2025-12-15 04:00:00,88592.6,88770.3,88275.1,88507.5,205043.32
2025-12-15 03:00:00,88949.2,88949.3,88435.4,88592.6,124568.4
2025-12-15 02:00:00,88758.1,89029.2,88664.9,88949.2,101370.04
2025-12-15 01:00:00,88783.2,88986.2,88539.7,88758,193898.53
2025-12-15 00:00:00,88982.2,89369,88401.6,88783.2,379015.51
2025-12-14 23:00:00,89066.2,89137,88822.5,88982.2,116217.39
2025-12-14 22:00:00,89436.6,89500,88831.9,89066.3,246429.64
2025-12-14 21:00:00,89364.9,89444,89027.4,89436.7,170072.41
2025-12-14 20:00:00,89302.2,89618,89050,89364.8,304802.59
2025-12-14 19:00:00,89816.8,89816.9,88503.3,89302.2,863429.05
2025-12-14 18:00:00,89985.9,90099.9,89730.3,89816.9,230098.61
2025-12-14 17:00:00,90080.9,90128.6,89949.6,89985.9,114593.67
2025-12-14 16:00:00,90212.4,90263,90075.1,90080.9,76440.94
2025-12-14 15:00:00,90106.5,90243,90040.1,90212.4,69629.5
2025-12-14 14:00:00,90165.3,90224.1,90057.3,90106.3,58458.55
